seed,fold,model,test_auc,train_auc
11,0,grie,0.5625,0.5543736159443214
11,0,grie_tuned,0.5446428571428571,0.5788911736792154
11,0,logistic,0.6636904761904762,0.6438627016766846
11,0,gbm,0.5297619047619048,0.8908177791838027
11,0,rf,0.5833333333333333,0.7535194558683961
11,1,grie,0.4281045751633986,0.6019238437001595
11,1,grie_tuned,0.4368191721132898,0.6363636363636364
11,1,logistic,0.45751633986928103,0.7149122807017543
11,1,gbm,0.5223311546840959,0.8402611642743222
11,1,rf,0.556644880174292,0.9576355661881978
11,2,grie,0.6394557823129252,0.5428734421625417
11,2,grie_tuned,0.6547619047619048,0.5543268386870283
11,2,logistic,0.7329931972789117,0.6319992978760751
11,2,gbm,0.7976190476190476,0.6652185360716167
11,2,rf,0.695578231292517,0.9597156398104265
11,3,grie,0.6698113207547169,0.5161887141535615
11,3,grie_tuned,0.6549155908639523,0.5672217082947888
11,3,logistic,0.5928500496524329,0.6480624935759071
11,3,gbm,0.5392254220456802,0.8765546304861753
11,3,rf,0.5332671300893743,0.8521944701408162
11,4,grie,0.4170940170940171,0.5786324786324786
11,4,grie_tuned,0.4307692307692308,0.588349077822762
11,4,logistic,0.5692307692307691,0.6609086819613135
11,4,gbm,0.5452991452991452,0.8922177237966712
11,4,rf,0.5743589743589743,0.9566351776878093
23,0,grie,0.64937106918239,0.5360305958132046
23,0,grie_tuned,0.6918238993710693,0.5700080515297906
23,0,logistic,0.7421383647798743,0.6462157809983897
23,0,gbm,0.7484276729559749,0.6846618357487924
23,0,rf,0.7484276729559749,0.7228260869565217
23,1,grie,0.5223529411764706,0.5811953352769679
23,1,grie_tuned,0.5070588235294118,0.6033527696793004
23,1,logistic,0.6423529411764706,0.652575315840622
23,1,gbm,0.591764705882353,0.7551506316812437
23,1,rf,0.5964705882352941,0.7548590864917396
23,2,grie,0.46571428571428575,0.5806878306878307
23,2,grie_tuned,0.5047619047619047,0.6092592592592593
23,2,logistic,0.5371428571428571,0.6849735449735449
23,2,gbm,0.5604761904761905,0.7708994708994711
23,2,rf,0.5723809523809523,0.756031746031746
23,3,grie,0.5027272727272727,0.5713419913419914
23,3,grie_tuned,0.5372727272727272,0.5888744588744589
23,3,logistic,0.6909090909090909,0.645021645021645
23,3,gbm,0.71,0.7384415584415585
23,3,rf,0.7263636363636363,0.7509523809523809
23,4,grie,0.7049441786283892,0.5323779668607255
23,4,grie_tuned,0.6012759170653907,0.5772951186744291
23,4,logistic,0.6028708133971292,0.6576802507836991
23,4,gbm,0.6140350877192983,0.8410658307210032
23,4,rf,0.6124401913875598,0.954411106135244
37,0,grie,0.5600942655145326,0.5612391136589131
37,0,grie_tuned,0.5632364493322859,0.5622864072318378
37,0,logistic,0.6425765907305577,0.6360930437658472
37,0,gbm,0.7757266300078555,0.7986440304266343
37,0,rf,0.6465043205027494,0.9832433028332047
37,1,grie,0.5141509433962264,0.5675881195204867
37,1,grie_tuned,0.49056603773584906,0.5971103954195741
37,1,logistic,0.5880503144654088,0.6640722848452317
37,1,gbm,0.5180817610062893,0.8205850778314546
37,1,rf,0.6320754716981132,0.955537663267132
37,2,grie,0.5651162790697675,0.5594552337063857
37,2,grie_tuned,0.5790697674418605,0.5798222514812377
37,2,logistic,0.5883720930232558,0.6621955233706386
37,2,gbm,0.6372093023255815,0.8414252797893351
37,2,rf,0.6441860465116279,0.7492182356813692
37,3,grie,0.6900510204081634,0.5180094786729857
37,3,grie_tuned,0.6415816326530612,0.5637440758293839
37,3,logistic,0.5663265306122449,0.643696682464455
37,3,gbm,0.5503826530612245,0.8371563981042653
37,3,rf,0.5070153061224489,0.7713270142180095
37,4,grie,0.41898148148148145,0.5889192320423701
37,4,grie_tuned,0.4027777777777778,0.6242552135054618
37,4,logistic,0.4143518518518518,0.6933962264150944
37,4,gbm,0.505787037037037,0.7763985435286329
37,4,rf,0.4884259259259259,0.7506620324395895
41,0,grie,0.5034188034188034,0.5741992101799034
41,0,grie_tuned,0.4341880341880342,0.6276437033786748
41,0,logistic,0.5111111111111111,0.6791575252303643
41,0,gbm,0.5914529914529915,0.7906976744186047
41,0,rf,0.6085470085470086,0.7514260640631856
41,1,grie,0.4770408163265306,0.5817307692307692
41,1,grie_tuned,0.5051020408163266,0.6018099547511313
41,1,logistic,0.5191326530612245,0.6875
41,1,gbm,0.5650510204081634,0.7673453996983409
41,1,rf,0.5204081632653061,0.9579562594268476
41,2,grie,0.47478070175438597,0.5830541871921182
41,2,grie_tuned,0.493421052631579,0.5939901477832512
41,2,logistic,0.5581140350877194,0.6504433497536947
41,2,gbm,0.7077850877192983,0.7464039408866995
41,2,rf,0.6721491228070176,0.7387684729064039
41,3,grie,0.7641509433962264,0.5366747181964573
41,3,grie_tuned,0.8176100628930818,0.5676328502415459
41,3,logistic,0.6194968553459119,0.6583735909822865
41,3,gbm,0.7845911949685535,0.7363123993558774
41,3,rf,0.7484276729559749,0.7276972624798711
41,4,grie,0.6542617046818728,0.5225360286294612
41,4,grie_tuned,0.6218487394957983,0.5527613889157559
41,4,logistic,0.6686674669867947,0.6373923977173808
41,4,gbm,0.5978391356542617,0.94182222652094
41,4,rf,0.6014405762304922,0.9615049811393752
53,0,grie,0.5783365570599613,0.5543747332479727
53,0,grie_tuned,0.4622823984526112,0.6022193768672641
53,0,logistic,0.5783365570599612,0.6603499786598378
53,0,gbm,0.5241779497098646,0.7335894152795561
53,0,rf,0.5125725338491296,0.7635510029876227
53,1,grie,0.6511627906976745,0.5453553237933544
53,1,grie_tuned,0.689922480620155,0.5574824157167111
53,1,logistic,0.5839793281653747,0.6607648152639664
53,1,gbm,0.7209302325581395,0.9286926994906621
53,1,rf,0.6770025839793281,0.9518958687040181
53,2,grie,0.45510835913312697,0.5925404644616468
53,2,grie_tuned,0.4793601651186791,0.6242585704232433
53,2,logistic,0.5242518059855521,0.6848295968633759
53,2,gbm,0.5304437564499483,0.7560571026440132
53,2,rf,0.5954592363261094,0.9614959284206294
53,3,grie,0.5738916256157636,0.5617383853769993
53,3,grie_tuned,0.5763546798029556,0.5969630616907845
53,3,logistic,0.6711822660098523,0.6421363290175172
53,3,gbm,0.6447044334975368,0.7235338918507236
53,3,rf,0.6884236453201971,0.8536747905559787
53,4,grie,0.6133333333333334,0.5490196078431373
53,4,grie_tuned,0.5696969696969697,0.5775227164036347
53,4,logistic,0.6703030303030303,0.6412242945958871
53,4,gbm,0.5890909090909091,0.8826877092300335
53,4,rf,0.5963636363636364,0.97168818747011
