agency,board,month,requests,slaBreachRate,repeatComplaintRate,escalationRate,openComplaintLoad,avgResolutionDays,nextBreachRate,failed,score,probability
DEP,1,2022-01,149,0.2348993288590604,0.30136986301369861,0,21,0.55616861979166665,0.26804123711340205,0,20.654184274914666,0.11846689895470383
DEP,1,2022-02,97,0.26804123711340205,0.16494845360824742,0,19,2.8434343434343434,0.25954198473282442,0,23.147136569454918,0.11846689895470383
DEP,1,2022-03,131,0.25954198473282442,0.2265625,0,30,2.3391377314814812,0.22321428571428573,0,22.771891791968862,0.11846689895470383
DEP,1,2022-04,112,0.22321428571428573,0.18867924528301888,0,30,2.1176525297619047,0.26470588235294118,0,19.62349802427034,0.083051611493744876
DEP,1,2022-05,170,0.26470588235294118,0.25179856115107913,0,53,2.0556783824640972,0.1941747572815534,0,23.487809656962735,0.11846689895470383
DEP,1,2022-06,206,0.1941747572815534,0.28476821192052981,0.0048543689320388345,52,3.486141304347826,0.12865497076023391,0,18.364649909309851,0.078378378378378383
DEP,1,2022-07,342,0.12865497076023391,0.36148648648648651,0,49,2.6438788244766505,0.18867924528301888,0,13.249882430134717,0.027397260273972601
DEP,1,2022-08,318,0.18867924528301888,0.44787644787644787,0,55,3.2608907585470086,0.26623376623376621,0,18.694460080650984,0.078378378378378383
DEP,1,2022-09,154,0.26623376623376621,0.421875,0,48,8.589604899930988,0.32558139534883723,0,25.964064046787158,0.13513513513513514
DEP,1,2022-10,129,0.32558139534883723,0.33333333333333331,0,57,1.9298379629629629,0.21782178217821782,0,28.77799285215826,0.19
DEP,1,2022-11,101,0.21782178217821782,0.36585365853658536,0,57,5.9047923542354237,0.30769230769230771,0,21.2668887213364,0.11846689895470383
DEP,1,2022-12,130,0.30769230769230771,0.17475728155339806,0,69,8.8373057909604515,0.23684210526315788,0,28.327094958083091,0.19
DEP,1,2023-01,114,0.23684210526315788,0.28205128205128205,0.008771929824561403,64,7.1830590569561155,0.13907284768211919,0,22.792218298988995,0.11846689895470383
DEP,1,2023-02,151,0.13907284768211919,0.15853658536585366,0.019867549668874173,64,4.2924530905077267,0.26666666666666666,0,13.719911523047676,0.078378378378378383
DEP,1,2023-03,75,0.26666666666666666,0.24285714285714285,0.013333333333333334,62,5.7681186868686867,0.18367346938775511,0,24.646669846310548,0.11846689895470383
DEP,1,2023-04,147,0.18367346938775511,0.21495327102803738,0.0068027210884353739,79,1.5643589743589743,0.26229508196721313,0,17.013972415395184,0.078378378378378383
DEP,1,2023-05,122,0.26229508196721313,0.43396226415094341,0.040983606557377046,77,1.864079301075269,0.30172413793103448,0,24.619814336840374,0.11846689895470383
DEP,1,2023-06,116,0.30172413793103448,0.26881720430107525,0.017241379310344827,75,5.5656838512241054,0.14722222222222223,0,27.690374808620405,0.18181818181818182
DEP,1,2023-07,360,0.14722222222222223,0.44625407166123776,0.0055555555555555558,76,1.3743365057257815,0.21461187214611871,0,15.171028390395009,0.078378378378378383
DEP,1,2023-08,219,0.21461187214611871,0.37967914438502676,0.0091324200913242004,90,1.118380758807588,0.12969283276450511,0,20.33483404040474,0.11846689895470383
DEP,1,2023-09,293,0.12969283276450511,0.36328125,0.0034129692832764505,82,4.821998431155408,0.2558139534883721,0,14.228209885945473,0.078378378378378383
DEP,1,2023-10,172,0.2558139534883721,0.3105590062111801,0.011627906976744186,84,1.5401307189542486,0.32692307692307693,0,23.334657023800339,0.11846689895470383
DEP,1,2023-11,156,0.32692307692307693,0.34285714285714286,0.00641025641025641,94,4.196294710806697,0.2857142857142857,0,29.897767069777373,0.19
DEP,1,2023-12,154,0.2857142857142857,0.42372881355932202,0.01948051948051948,99,2.4385579791200596,0.25217391304347825,0,26.705077805864143,0.1702127659574468
DEP,1,2024-01,230,0.25217391304347825,0.38970588235294118,0,105,3.3181268601190474,0.16129032258064516,0,24.027589650805457,0.11846689895470383
DEP,1,2024-02,217,0.16129032258064516,0.5043478260869565,0,101,2.8266308446455506,0.25903614457831325,0,17.170568895665927,0.078378378378378383
DEP,1,2024-03,166,0.25903614457831325,0.35199999999999998,0,108,3.0747161076170508,0.27205882352941174,0,24.361891347343594,0.11846689895470383
DEP,1,2024-04,136,0.27205882352941174,0.5,0,101,6.7866404428904428,0.24427480916030533,0,26.953765941492861,0.17582417582417584
DEP,1,2024-05,131,0.24427480916030533,0.42307692307692307,0,108,5.014364919354839,0.21072796934865901,0,23.998497310564858,0.11846689895470383
DEP,1,2024-06,261,0.21072796934865901,0.51769911504424782,0,121,1.6264840949820789,0.28082191780821919,0,21.118703746692209,0.11846689895470383
DEP,1,2024-07,292,0.28082191780821919,0.48623853211009177,0.0034246575342465752,123,6.3778424329501915,0.25570776255707761,0,27.739276732741434,0.18181818181818182
DEP,1,2024-08,219,0.25570776255707761,0.58947368421052626,0,122,2.4919381313131312,0.33333333333333331,0,25.292762316947144,0.11846689895470383
DEP,1,2024-09,141,0.33333333333333331,0.37391304347826088,0,129,2.6216625207296849,0.15121951219512195,0,30.530205108689543,0.19
DEP,1,2024-10,205,0.15121951219512195,0.40366972477064222,0,125,3.5313895534290274,0.21705426356589147,0,16.284202923955604,0.078378378378378383
DEP,1,2024-11,129,0.21705426356589147,0.39423076923076922,0.0077519379844961239,122,5.0590067340067337,0.20833333333333334,0,21.874644980161595,0.11846689895470383
DEP,1,2024-12,120,0.20833333333333334,0.46000000000000002,0,122,13.714438657407408,0.36486486486486486,1,23.529231225173739,0.11846689895470383
DEP,1,2025-01,148,0.36486486486486486,0.34259259259259262,0,135,18.979387860082305,0.33333333333333331,0,36.85707158446786,0.3271604938271605
DEP,1,2025-02,135,0.33333333333333331,0.36956521739130432,0,145,2.2395500000000004,0.20833333333333334,0,30.58727845656324,0.19
DEP,1,2025-03,144,0.20833333333333334,0.41489361702127658,0,153,2.5159415849673201,0.37777777777777777,1,20.964723687006423,0.11846689895470383
DEP,1,2025-04,90,0.37777777777777777,0.4935064935064935,0,152,12.434218559218559,0.34399999999999997,0,37.265739950995126,0.3271604938271605
DEP,1,2025-05,125,0.34399999999999997,0.49450549450549453,0,157,2.496053240740741,0.16849816849816851,0,32.253812055732645,0.23474178403755869
DEP,1,2025-06,273,0.16849816849816851,0.50943396226415094,0,166,3.0791429924242424,0.1484848484848485,0,18.52280895477405,0.078378378378378383
DEP,1,2025-07,330,0.1484848484848485,0.59398496240601506,0,177,2.7868948101706721,0.23505976095617531,0,17.391646948473795,0.078378378378378383
