threshold,false_matches,false_match_rate,re-encoded__JPEG_70_,resized_to_half,cropped_10_,brightened
0,0,0,0.616,0.211,0,0.268
1,2,0.000004004084165849166,0.866,0.507,0.004,0.593
2,2,0.000004004084165849166,0.954,0.706,0.014,0.792
3,2,0.000004004084165849166,0.985,0.843,0.024,0.9
4,4,0.000008008168331698332,0.993,0.919,0.056,0.955
5,6,0.000012012252497547498,0.996,0.959,0.103,0.976
6,7,0.000014014294580472081,0.997,0.977,0.205,0.984
7,12,0.000024024504995094995,0.997,0.991,0.286,0.991
8,14,0.000028028589160944162,0.998,0.994,0.396,0.992
9,23,0.00004604696790726541,0.998,0.996,0.498,0.998
10,33,0.00006606738873651125,0.998,0.998,0.613,1
11,57,0.00011411639872670124,0.999,0.999,0.716,1
12,90,0.00018018378746321247,0.999,0.999,0.798,1
13,152,0.0003043103966045366,1,0.999,0.876,1
14,267,0.0005345452361408637,1,1,0.922,1
15,437,0.0008748923902380428,1,1,0.953,1
16,752,0.0015055356463592865,1,1,0.974,1
