target,model,test_auc,train_rows,test_rows,test_positive_rate
1,GRIE (hand-specified),0.8142857142857143,221,47,0.10638297872340426
1,GRIE (tuned on source),0.7809523809523811,221,47,0.10638297872340426
1,Logistic regression,0.7333333333333334,221,47,0.10638297872340426
1,Random forest,0.7428571428571429,221,47,0.10638297872340426
1,Gradient boosting,0.6357142857142857,221,47,0.10638297872340426
2,GRIE (hand-specified),0.7735042735042735,224,44,0.4090909090909091
2,GRIE (tuned on source),0.7585470085470085,224,44,0.4090909090909091
2,Logistic regression,0.6858974358974359,224,44,0.4090909090909091
2,Random forest,0.6068376068376068,224,44,0.4090909090909091
2,Gradient boosting,0.6720085470085471,224,44,0.4090909090909091
3,GRIE (hand-specified),0.972972972972973,193,75,0.013333333333333334
3,GRIE (tuned on source),0.9864864864864865,193,75,0.013333333333333334
3,Logistic regression,0.9864864864864865,193,75,0.013333333333333334
3,Random forest,1.0,193,75,0.013333333333333334
3,Gradient boosting,0.9864864864864865,193,75,0.013333333333333334
4,GRIE (hand-specified),0.8333333333333334,217,51,0.35294117647058826
4,GRIE (tuned on source),0.81986531986532,217,51,0.35294117647058826
4,Logistic regression,0.8265993265993266,217,51,0.35294117647058826
4,Random forest,0.7760942760942761,217,51,0.35294117647058826
4,Gradient boosting,0.7449494949494949,217,51,0.35294117647058826
5,GRIE (hand-specified),0.6875,217,51,0.3137254901960784
5,GRIE (tuned on source),0.6982142857142857,217,51,0.3137254901960784
5,Logistic regression,0.7053571428571429,217,51,0.3137254901960784
5,Random forest,0.6553571428571429,217,51,0.3137254901960784
5,Gradient boosting,0.7000000000000001,217,51,0.3137254901960784
